Analysis.Region,Object.Id,XMin,XMax,YMin,YMax,DAPI..DAPI..Positive.Classification,DAPI..DAPI..Positive.Nucleus.Classification,DAPI..DAPI..Nucleus.Intensity,DAPI..DAPI..Cell.Intensity,M1..Opal.480..Positive.Classification,M1..Opal.480..Positive.Nucleus.Classification,M1..Opal.480..Nucleus.Intensity,M1..Opal.480..Cell.Intensity,M2..Opal.520..Positive.Classification,M2..Opal.520..Positive.Cytoplasm.Classification,M2..Opal.520..Cytoplasm.Intensity,M2..Opal.520..Cell.Intensity,M3..Opal.570..Positive.Classification,M3..Opal.570..Positive.Nucleus.Classification,M3..Opal.570..Nucleus.Intensity,M3..Opal.570..Cell.Intensity,M4..Opal.620..Positive.Classification,M4..Opal.620..Positive.Cytoplasm.Classification,M4..Opal.620..Cytoplasm.Intensity,M4..Opal.620....Cytoplasm.Completeness,M4..Opal.620..Cell.Intensity,M5..Opal.650..Positive.Classification,M5..Opal.650..Positive.Cytoplasm.Classification,M5..Opal.650..Cytoplasm.Intensity,M5..Opal.650..Cell.Intensity,M6..Opal.690..Positive.Classification,M6..Opal.690..Positive.Cytoplasm.Classification,M6..Opal.690..Cytoplasm.Intensity,M6..Opal.690..Cell.Intensity,M7..Opal.780..Positive.Classification,M7..Opal.780..Positive.Cytoplasm.Classification,M7..Opal.780..Cytoplasm.Intensity,M7..Opal.780....Cytoplasm.Completeness,M7..Opal.780..Cell.Intensity,Cell.Area..µm..
Tumour,31776,28057,28071,29940,29952,1,1,29.790178,24.670824,0,0,0,0.001379,0,0,0.516413,0.598776,0,0,0.206784,0.208806,0,0,0.004308,0,0.00114,0,0,2.073912,2.546525,0,0,1.160071,1.439608,0,0,0.341266,0,0.326777,34.050884
Tumour,31777,28078,28096,29942,29957,1,1,28.871403,25.516531,1,1,0.07215,0.058841,0,0,0.502716,0.535242,0,0,0.171814,0.170176,0,0,0.007823,0,0.005281,0,0,3.150292,3.197661,0,0,1.790732,2.07965,0,0,0.256038,0,0.281459,51.577076
Tumour,31778,28009,28027,29943,29957,1,1,31.821436,28.900978,1,1,0.172748,0.146113,0,0,0.492547,0.536631,0,0,0.214929,0.205547,0,0,0,0,0.000317,0,0,4.52328,4.28496,0,0,3.065195,2.953058,0,0,0.300468,0,0.277341,56.83493
Tumour,31781,27781,27794,29947,29963,1,1,44.846237,39.83874,0,0,0.038449,0.031737,0,0,0.730935,0.78105,0,0,0.62663,0.59174,0,0,0.044411,0,0.020586,0,0,5.188139,4.526052,0,0,4.706464,4.485614,0,0,0.419131,23.333334,0.351831,42.313232
Tumour,31799,27960,27971,29963,29978,1,1,33.557465,33.40054,1,1,0.260826,0.223113,0,0,0.468132,0.478381,0,0,0.256987,0.277656,0,0,0,0,0,0,0,4.815226,4.097088,0,0,3.197674,2.717013,0,0,0.269303,0,0.233247,29.293776
Tumour,31800,28040,28057,29964,29976,1,1,30.294579,27.222765,1,1,0.100043,0.087648,0,0,0.450865,0.465456,0,0,0.46135,0.448771,0,0,0.783461,9.677419,0.445931,1,1,7.197942,6.839281,0,0,5.165263,5.020104,0,0,0.304712,0,0.279327,44.06585
Tumour,31839,28205,28225,30010,30030,1,1,32.699253,29.947063,1,1,0.12182,0.105392,0,0,0.61058,0.821562,0,0,0.183826,0.173267,0,0,0,0,8e-06,0,0,3.170975,4.342649,0,0,2.063555,3.375999,0,0,0.253356,2.380952,0.2772,70.35513
Tumour,31850,28050,28069,30023,30034,1,1,35.166946,31.659307,1,1,0.14692,0.125783,0,0,0.489238,0.502221,0,0,0.202527,0.193725,0,0,0,0,0,0,0,2.637518,3.247235,0,0,1.599289,2.271025,0,0,0.298886,0,0.268115,49.073334
Tumour,31860,28259,28267,30032,30046,1,1,23.723763,20.37379,0,0,0.005593,0.022476,0,0,0.536048,0.589009,0,0,0.175777,0.162556,0,0,0,0,0.001828,0,0,0.97365,1.517565,0,0,0.191973,0.555483,0,0,0.208568,0,0.221296,22.032925
Tumour,31870,28268,28279,30039,30050,1,1,28.631956,23.933277,0,0,0,0,0,0,0.440792,0.544201,0,0,0.180982,0.166542,0,0,0,0,0,0,0,1.111192,1.272105,0,0,0.317501,0.277231,0,0,0.19991,0,0.213426,27.541157
Tumour,31880,27893,27914,30050,30061,1,1,23.809685,19.545717,0,0,0,0,0,0,0.468936,0.528033,0,0,0.196593,0.177767,0,0,0,0,0,0,0,2.079715,2.169384,0,0,0.977883,1.339257,0,0,0.305696,11.111112,0.363408,47.571087
Tumour,31893,28215,28227,30058,30067,1,1,24.42247,21.689291,1,1,0.148391,0.121943,0,0,0.440095,0.49859,0,0,0.134085,0.14084,0,0,0,0,0,0,0,4.50188,4.177238,0,0,2.845297,2.986471,0,0,0.298707,0,0.305439,24.536667
Tumour,31905,28143,28156,30072,30083,1,1,13.902413,11.639723,0,0,0.012431,0.009246,0,0,0.437489,0.43961,0,0,0.185667,0.166267,0,0,0,0,0.002194,0,0,2.937558,3.172893,0,0,1.457037,1.73891,0,0,0.244652,0,0.234002,30.295273
Tumour,31928,28221,28228,30089,30102,1,1,31.42317,28.536768,1,1,0.091084,0.078386,0,0,0.582108,0.526315,0,0,0.211723,0.196258,0,0,0,0,0.000378,0,0,4.706297,4.367288,0,0,3.382569,3.157771,0,0,0.347303,0,0.291498,22.032925
Tumour,31932,27939,27953,30093,30101,1,1,46.0099,43.193874,0,0,0.007709,0.008413,0,0,0.480073,0.517016,0,0,0.21206,0.20614,0,0,0,0,0,0,0,3.249073,3.125995,0,0,2.211986,2.324012,0,0,0.259426,0,0.244313,32.298264
Tumour,31939,28288,28297,30098,30105,1,1,16.049961,13.970812,0,0,0.004474,0.003039,0,0,0.569744,0.568485,0,0,0.179509,0.173835,0,0,0,0,0,0,0,3.831258,3.761135,0,0,2.300287,2.391459,0,0,0.361994,5.882353,0.35868,13.26983
Tumour,31960,27868,27883,30111,30123,1,1,5.609391,5.043656,0,0,0,0,0,0,0.36059,0.348189,0,0,0.093722,0.08684,0,0,0,0,0,0,0,1.336468,1.39533,0,0,0.386695,0.466703,0,0,0.146494,0,0.168879,30.295273
Tumour,31973,28345,28357,30120,30131,1,1,29.600546,26.51421,0,0,0,0,0,0,0.54606,0.551205,0,0,0.30932,0.317417,0,0,0.014874,0,0.003023,0,0,3.849003,3.062377,0,0,2.312835,1.627909,0,0,0.334445,0,0.318069,30.79602
Tumour,31975,27983,27996,30122,30137,1,1,30.569315,27.879448,1,1,0.152988,0.124351,0,0,0.478772,0.522893,0,0,0.223607,0.209066,0,0,0,0,0,0,0,4.600442,4.173647,0,0,2.980458,2.994559,0,0,0.269185,2.777778,0.244875,43.314728
Tumour,31994,28004,28017,30137,30147,1,1,27.665937,25.085117,0,0,0.01582,0.016654,0,0,0.48708,0.473919,0,0,0.132322,0.130636,0,0,0,0,0,0,0,5.664744,5.315632,0,0,3.780148,3.715514,0,0,0.308466,0,0.258227,28.793028
Tumour,32002,28367,28378,30141,30152,1,1,30.595139,26.591125,0,0,0,0,0,0,0.571656,0.628445,0,0,0.167417,0.177318,0,0,0,0,0,0,0,3.532194,3.078498,0,0,2.036279,1.78415,0,0,0.34997,7.142858,0.315252,31.046394
Tumour,32019,27154,27166,29746,29758,1,1,20.892937,17.83298,0,0,0.001579,0.002492,0,0,0.414961,0.47322,0,0,0.145479,0.141207,0,0,0.00831,0,0.003737,0,0,1.816122,2.007878,0,0,1.085129,1.399067,0,0,0.171598,0,0.207272,31.797518
Tumour,32022,27074,27088,29752,29763,1,1,12.832312,10.469934,0,0,0.006474,0.005504,0,0,0.399524,0.426934,0,0,0.239957,0.227008,0,0,0.10997,0,0.05367,0,0,1.520143,2.201616,0,0,0.691034,1.431251,0,0,0.198129,0,0.237782,35.302753
Tumour,32034,27078,27095,29778,29788,1,1,54.271584,44.97181,1,1,0.271021,0.19798,0,0,0.680979,0.691967,0,0,0.386852,0.397497,0,0,0.02798,0,0.01199,0,0,2.553957,2.842146,0,0,1.723055,2.357614,0,0,0.355551,21.052631,0.336327,35.302753
Tumour,32039,27310,27326,29786,29799,1,1,13.797801,11.966008,0,0,0.004482,0.007635,0,0,0.944723,1.001006,0,0,0.367009,0.384295,0,0,0.665116,16.666668,0.485991,0,0,3.821977,4.93957,0,0,2.889134,4.128428,0,0,0.237056,0,0.241657,47.821465
Tumour,32057,27396,27413,29806,29819,1,1,14.533933,12.584385,0,0,0.01975,0.017331,0,0,0.696245,0.712689,0,0,0.29489,0.299531,0,0,0.38227,5.128205,0.149387,0,0,1.79135,1.768941,0,0,1.438906,1.214795,0,0,0.189574,0,0.199327,52.828945
Tumour,32059,27026,27043,29811,29829,1,1,25.152033,23.473387,0,0,0.000391,0.000325,0,0,0.524373,0.521962,0,0,0.250458,0.247693,0,0,0.056691,0,0.017148,0,0,2.566107,2.162536,0,0,1.95354,1.450018,0,0,0.290618,0,0.304709,56.584557
Tumour,32066,27015,27029,29817,29831,1,1,35.76778,32.548557,1,1,0.380455,0.314355,0,0,0.476727,0.471359,0,0,0.291856,0.276701,0,0,0,0,0.000602,0,0,2.826914,2.981497,0,0,2.269328,2.780597,0,0,0.346375,0,0.300265,40.310238
Tumour,32072,27296,27307,29821,29835,1,1,7.869148,7.41145,0,0,0.033764,0.029439,0,0,0.816428,0.923832,0,0,0.576034,0.553421,0,0,1.06399,23.076923,1.302391,0,0,3.596187,3.931366,0,0,2.63602,3.119496,0,0,0.243303,0,0.260143,29.794523
Tumour,32081,27173,27178,29828,29836,1,1,7.422651,6.663336,0,0,0.00601,0.011257,0,0,0.715175,0.850846,0,0,0.481357,0.479325,0,0,0.571481,7.142858,0.76775,0,0,2.471739,2.498347,0,0,1.389023,1.67661,0,0,0.223464,0,0.22472,10.26534
Tumour,32091,27015,27026,29837,29848,1,1,26.741253,25.088797,0,0,0.000867,0.000743,0,0,0.460341,0.45901,0,0,0.190045,0.190557,0,0,0,0,0,0,0,2.143388,1.691,0,0,1.247255,1.304892,0,0,0.28453,0,0.275979,19.278809
Tumour,32113,27675,27687,29856,29866,0,0,4.588253,4.288569,0,0,0.047618,0.046032,0,0,0.938251,0.911392,0,0,0.749107,0.730958,0,0,0.992318,18.181818,1.14661,0,0,6.437285,6.560141,0,0,5.889476,5.95809,0,0,0.219217,0,0.207816,25.788538
Tumour,32161,27213,27228,29886,29902,1,1,33.24986,31.09343,1,1,0.467722,0.405477,1,1,4.585989,3.053229,0,0,1.445766,1.480811,0,0,2.169145,37.931034,0.980355,1,1,13.020931,12.512841,1,1,12.391387,11.441384,0,0,0.334568,3.448276,0.291799,53.07932
Tumour,32171,27744,27756,29889,29903,1,1,51.32203,43.741787,0,0,0,0,1,1,20.341743,16.159,1,1,4.071913,4.520018,1,1,13.777655,100,8.987472,1,1,28.675777,20.21226,1,1,27.144049,27.615398,1,1,0.583403,72.22222,0.648358,37.806496
Tumour,32178,27073,27085,29892,29905,1,1,25.830235,23.745338,0,0,0,0.007584,0,0,0.493124,0.495692,0,0,0.280858,0.264003,0,0,0,0,0.00271,0,0,1.875818,1.720069,0,0,1.37679,1.18619,0,0,0.327267,0,0.30262,32.54864
